73.07,450,0,nan,485
73.06,445,0,89.48,nan
73.01,415,0,89.27,nan
nan,nan,0,nan,nan
72.95,370,0,89.25,nan
72.86,318,0,89.22,360
nan,370,0,89.16,340
72.98,390,0,89.2,352
73.02,420,0,89.17,345
73.04,433,0,89.28,nan
73.08,390,nan,89.29,388
nan,425,nan,89.3,390
nan,405,nan,nan,352
nan,nan,0,89.16,335
73.01,340,nan,89.04,290
72.95,nan,0,88.95,265
72.94,290,nan,89.12,315
nan,320,0,89.05,300
nan,290,0,88.98,255
72.92,nan,0,88.94,242
72.97,295,0,88.98,255
nan,205,0,88.96,250
72.85,240,0,88.96,250
72.84,230,0,88.88,222
72.84,nan,0,88.86,218
nan,220,0,88.96,247
nan,240,nan,88.92,253
72.86,250,0,88.81,nan
72.79,nan,0,nan,nan
72.81,215,0,88.8,204
nan,205,0,88.83,211
72.79,nan,nan,nan,218
nan,215,0,88.83,211
72.78,210,nan,88.92,234
72.8,220,0,88.9,nan
72.8,nan,nan,nan,228
72.79,nan,0,88.88,224
nan,245,3.7,nan,216
72.8,258,nan,88.93,236
72.82,273,0,nan,247
nan,287,0,nan,243
72.87,262,0,nan,239
72.87,262,nan,88.93,226
72.86,255,0.2,88.92,230
72.82,nan,0,89.02,272
72.87,262,0,nan,265
72.87,262,nan,88.98,258
72.87,262,1.2,nan,224
72.85,250,nan,89.03,nan
nan,nan,0,89.05,264
72.91,287,nan,89.03,258
72.91,287,0,88.98,243
nan,255,0,89.1,276
72.9,280,0,89.02,249
72.92,293,1,88.92,224
nan,250,0,88.96,nan
72.84,nan,0,89.02,249
72.86,243,0,89.51,478
73.3,555,2.9,89.69,nan
nan,705,3.5,89.68,694
73.45,705,1.6,89.68,nan
nan,740,51.9,89.81,905
73.61,835,1.6,89.88,1000
73.69,1000,0,89.68,735
nan,795,0,89.78,920
73.56,830,0,89.55,630
73.46,nan,0,89.59,nan
73.47,720,nan,nan,723
nan,nan,0,nan,870
nan,740,0,89.57,690
73.38,650,0,89.58,710
73.36,645,0,89.58,710
73.37,655,0.1,89.62,770
73.42,700,4.2,89.63,775
nan,700,6.6,89.65,nan
73.42,750,0.1,89.65,800
73.42,750,0.1,89.64,798
73.42,nan,0,89.65,810
73.42,750,nan,89.66,844
73.4,790,0,nan,710
73.22,630,0,89.5,nan
73.25,657,0.1,nan,725
73.27,nan,nan,89.59,740
73.24,695,nan,nan,nan
73.19,nan,0,nan,nan
73.19,646,0,89.48,620
73.15,610,0,nan,nan
73.15,610,0,89.55,695
73.14,600,nan,nan,660
73.14,600,0,89.62,nan
nan,638,0.4,89.61,700
73.18,638,0,89.7,760
73.25,nan,0,nan,975
73.42,860,0,89.95,1040
73.46,nan,0,89.86,911
73.46,905,0,89.85,914
73.39,842,nan,89.86,911
73.38,832,nan,89.87,918
73.42,872,nan,89.82,862
73.4,852,0,89.79,827
73.38,832,nan,89.84,nan
73.38,832,nan,89.86,905
73.39,842,0.1,89.86,nan
73.36,813,0.1,89.79,880
nan,794,11.1,89.77,nan
73.29,745,0,89.51,nan
73.18,640,0,89.67,830
nan,707,0,89.81,nan
73.29,745,nan,89.79,924
73.29,745,nan,89.77,807
73.26,nan,0,89.74,780
73.24,740,0,89.82,862
nan,757,0,89.77,840
73.24,740,0,89.79,830
73.23,nan,0,89.83,872
73.24,820,0,89.84,nan
73.2,782,0,89.76,770
nan,740,0,nan,790
73.13,710,0,89.83,840
73.15,740,3.2,89.81,755
73.13,668,0,89.85,795
73.12,659,0,89.76,nan
nan,nan,0,89.76,615
73.04,555,0,nan,630
73.02,595,nan,89.78,630
73.02,nan,0,89.81,675
73.01,585,0,89.86,655
73,580,0,89.87,665
72.94,530,0,89.87,nan
72.97,540,0,89.89,nan
72.95,520,1,89.8,510
72.95,520,0,nan,nan
nan,540,nan,89.89,610
nan,470,0,nan,420
72.93,425,0,nan,438
72.96,460,0,89.85,545
73,500,0,89.72,454
72.94,nan,nan,89.64,432
72.91,380,0,89.72,nan
nan,420,0,89.81,550
72.96,440,0,89.82,557
72.98,465,0.1,89.95,650
73.09,590,0.1,nan,700
73.17,nan,0.1,90.08,nan
73.19,700,0,90.07,nan
73.18,690,0,90.03,605
73.17,680,nan,89.95,643
73.13,630,0,89.91,615
73.08,nan,0,89.98,650
73.11,540,nan,89.92,600
73.12,550,44,90.02,670
73.13,550,nan,89.87,nan
nan,520,0,89.82,491
73.03,480,0,89.82,491
73.03,480,0,89.88,nan
73.06,nan,0,89.84,480
73.03,510,0,89.87,nan
73.05,540,0,89.95,582
73.09,580,0,nan,405
72.94,420,0,nan,500
72.98,500,0,89.81,575
73.06,550,0,nan,475
72.94,nan,0,89.68,480
72.95,470,25.7,nan,nan
nan,510,14,89.68,495
73,565,0,89.77,525
73.01,570,nan,89.79,543
73.01,570,0,89.76,545
nan,570,0.1,89.93,632
73.07,nan,28.3,89.85,nan
73.06,580,6.2,90.56,1790
74,2000,3.5,91.05,3050
74.41,nan,8.7,91.16,3360
74.41,3220,nan,91.19,3380
74.44,3300,0,91.35,3620
74.52,3550,0,91.42,3600
74.58,3660,0,91.41,3580
74.67,3900,nan,91.45,3980
nan,4030,nan,91.49,4160
nan,4000,nan,91.4,4100
74.54,3630,2.3,91.29,3890
74.43,3300,0,91.29,3840
74.35,3160,0.1,90.76,nan
74.18,2640,nan,90.31,1900
nan,nan,8.2,89.69,1100
73.37,921,9.6,89.47,780
73.67,1130,5.1,90.36,1900
73.9,1880,0,90.15,nan
nan,1020,0.5,89.83,1220
73.52,1010,0,90.04,nan
73.61,1200,nan,89.73,980
73.32,820,nan,89.58,753
nan,820,33.6,89.71,922
73.45,nan,44.7,89.54,705
73.21,620,14.8,89.51,750
73.23,630,11.9,nan,640
73.13,530,0,89.34,nan
73.08,490,nan,89.27,nan
nan,430,nan,89.19,430
73.05,480,49.6,89.21,450
73.02,460,nan,89.34,565
73.05,nan,0.2,nan,625
73.07,495,0.1,89.41,540
73.07,495,0,89.52,640
73.07,495,0.1,nan,940
73.13,nan,0,90.3,1450
73.12,nan,nan,90.3,nan
73.1,nan,1.5,90.3,1430
73.1,1390,21.7,90.24,nan
73.08,1270,nan,90.23,1370
73.08,nan,1,nan,2390
73.96,1940,26.7,90.94,nan
74.44,3800,0,91.09,nan
74.35,3480,17.8,91.25,3700
74.55,4080,0.2,91.21,3620
74.46,3540,0,nan,3240
74.34,3100,0,90.96,3200
74.32,3020,nan,90.95,3170
74.32,2920,0.1,90.63,2450
73.99,nan,0,89.9,1600
73.43,880,4.7,89.59,1260
73.23,820,nan,nan,1280
73.22,820,0,89.93,1080
73.18,840,0,89.75,875
73.18,840,nan,89.99,1150
nan,1100,0,90.47,1740
73.77,nan,0,90.16,1510
73.56,1240,0,90.18,1710
73.54,1360,nan,90.15,1660
73.47,1250,0,90.08,1540
